,"coefficient"
"(Intercept)",-8066.12941314338
"regression_xarea",1447.31448457929
"regression_xd21",7456.8796841818
"regression_xd22",8596.94946444358
"regression_xd23",-10414.6584128209
"regression_xd24",-3554.45565843056
"regression_xd25",12856.2382298561
"regression_xd26",3549.00598554811
"regression_xd27",-89.6753318937396
"regression_xd28",3861.58711979695
"regression_xd29",32227.682102784
"regression_xd210",-700.294756596705
"regression_xd211",-22269.6066207805
"regression_xd41",6275.97676089683
"regression_xd42",4194.83263765762
"regression_xd43",2960.64669904069
"regression_xd5",-4240.5393392444
"regression_xd6",5977.14723013419
"regression_xmin_station",-5.174852050655
"regression_xmin_park",5.17136512209908
"regression_xaread21",-158.266847934769
"regression_xaread22",-108.79332464081
"regression_xaread23",404.466233472872
"regression_xaread24",265.881543135389
"regression_xaread25",-457.472720095346
"regression_xaread26",171.867004262034
"regression_xaread27",-1.45516810812885
"regression_xaread28",-315.945944385487
"regression_xaread29",-888.461440579703
"regression_xaread210",-198.317284976866
"regression_xaread211",214.791986852046
"regression_xd41d21",-7459.43934362289
"regression_xd41d22",7976.17489975987
"regression_xd41d23",14652.4472757349
"regression_xd41d24",6464.2010292189
"regression_xd41d25",-11767.0583458844
"regression_xd41d26",-4483.8227743796
"regression_xd41d27",3775.00578345296
"regression_xd41d28",-3100.81292389913
"regression_xd41d29",-30042.670561867
"regression_xd41d210",5506.91046620337
"regression_xd41d211",26913.4244028846
"regression_xd42d21",-3050.32445564037
"regression_xd42d22",-3736.23431572299
"regression_xd42d23",17663.7826545307
"regression_xd42d24",9837.46699446373
"regression_xd42d25",-8133.54239872964
"regression_xd42d26",762.22472804066
"regression_xd42d27",6516.23204237115
"regression_xd42d28",-1105.27688424949
"regression_xd42d29",-26877.5701128069
"regression_xd42d210",7856.10116787123
"regression_xd42d211",26285.3777919887
"regression_xd43d21",-409.198182237519
"regression_xd43d22",-2261.81429046329
"regression_xd43d23",15987.5842796076
"regression_xd43d24",8172.64669650194
"regression_xd43d25",-11005.8622509567
"regression_xd43d26",2041.82186175457
"regression_xd43d27",7553.4151936534
"regression_xd43d28",1191.99226401804
"regression_xd43d29",-28106.6023249423
"regression_xd43d210",8681.99315015411
"regression_xd43d211",28857.607685676
"regression_xaread41d21",32.3246104331153
"regression_xaread41d22",-1337.86930279466
"regression_xaread41d23",-688.191765959497
"regression_xaread41d24",-416.077543447454
"regression_xaread41d25",114.200879962666
"regression_xaread41d26",60.4390426491493
"regression_xaread41d27",-325.365061756529
"regression_xaread41d28",-166.878167953615
"regression_xaread41d29",462.265915247437
"regression_xaread41d210",-537.602652340326
"regression_xaread41d211",-980.608182544382
"regression_xaread42d21",-504.347215717152
"regression_xaread42d22",-409.194235577637
"regression_xaread42d23",-1150.87597907282
"regression_xaread42d24",-977.844192110392
"regression_xaread42d25",-375.133251085285
"regression_xaread42d26",-642.585047359178
"regression_xaread42d27",-602.109604387989
"regression_xaread42d28",-223.093733468443
"regression_xaread42d29",262.649833039579
"regression_xaread42d210",-785.332887304
"regression_xaread42d211",-738.476709317375
"regression_xaread43d21",-1211.94907536793
"regression_xaread43d22",-1147.04938785877
"regression_xaread43d23",-1154.98246177731
"regression_xaread43d24",-955.633175827274
"regression_xaread43d25",209.599914629692
"regression_xaread43d26",-1103.30238318679
"regression_xaread43d27",-1072.57201582785
"regression_xaread43d28",-681.237007903891
"regression_xaread43d29",219.245163058771
"regression_xaread43d210",-1151.93391923647
"regression_xaread43d211",-1085.71771669728
