id,dateCrawled,name,seller,offerType,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen,ad_exist_time
231634,2016-03-28T12:46:24Z,VW_Polo_86_C_Coupe,privat,Angebot,test,kleinwagen,1994,manuell,45,polo,150000,1,benzin,volkswagen,ja,2016-03-28T00:00:00Z,0,15344,2016-04-06T15:45:05Z,9
204595,2016-04-02T11:46:03Z,Ford_Focus_C_MAX_1.6_TDCi,privat,Angebot,test,bus,2004,manuell,109,focus,150000,4,diesel,ford,nein,2016-04-02T00:00:00Z,0,94164,2016-04-02T11:46:03Z,0
239328,2016-03-14T20:40:10Z,Volkswagen_Bora_1.6,privat,Angebot,control,limousine,2000,manuell,105,bora,150000,10,benzin,volkswagen,nein,2016-03-14T00:00:00Z,0,17291,2016-03-17T10:44:24Z,3
246747,2016-04-01T14:57:23Z,Audi_A4_Avant_2.0,privat,Angebot,test,kombi,2002,manuell,131,a4,150000,5,benzin,audi,nein,2016-04-01T00:00:00Z,0,39106,2016-04-07T12:46:27Z,6
215028,2016-03-21T03:36:25Z,BMW_323i_Top_Fahrzeug_erst_70.000km,privat,Angebot,test,limousine,1999,automatik,170,3er,70000,1,benzin,bmw,nein,2016-03-21T00:00:00Z,0,76829,2016-03-21T09:41:06Z,0
227966,2016-03-23T08:50:56Z,Audi_A6_2_6_Automatik_Scheckheft_lueckenlos_Youngtimer,privat,Angebot,control,limousine,1995,automatik,150,a6,150000,5,benzin,audi,nein,2016-03-23T00:00:00Z,0,26180,2016-04-07T07:44:54Z,15
200176,2016-03-30T15:56:18Z,Seat_Alhambra_1.9_TDI_Casa_I,privat,Angebot,test,bus,2002,manuell,116,alhambra,150000,5,diesel,seat,nein,2016-03-30T00:00:00Z,0,39517,2016-04-07T06:44:51Z,8
229671,2016-03-07T21:45:29Z,Citroën_Berlingo_Multispace_1.8i_Chrono,privat,Angebot,control,bus,2000,manuell,90,berlingo,150000,8,benzin,citroen,nein,2016-03-07T00:00:00Z,0,25884,2016-03-19T05:45:56Z,12
206791,2016-03-31T14:48:08Z,Mazda_MX_3_16V,privat,Angebot,control,coupe,1996,manuell,107,mx_reihe,150000,2,benzin,mazda,nein,2016-03-31T00:00:00Z,0,89346,2016-04-06T07:45:12Z,6
239876,2016-03-24T13:54:10Z,Fiat_Punto_1.2_SX,privat,Angebot,control,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat,nein,2016-03-24T00:00:00Z,0,37434,2016-04-07T06:16:13Z,14
205217,2016-03-05T14:36:17Z,Renault_Modus_Grand_GEO_TCE_100_eco_2,privat,Angebot,control,bus,2011,manuell,101,modus,50000,2,benzin,renault,nein,2016-03-05T00:00:00Z,0,14624,2016-03-22T02:16:57Z,17
220942,2016-03-15T14:53:53Z,Audi_S4_Avant,privat,Angebot,control,kombi,2004,manuell,344,andere,150000,5,lpg,audi,nein,2016-03-15T00:00:00Z,0,36323,2016-03-15T15:40:37Z,0
213032,2016-03-14T19:40:58Z,Opel_Astra_1.4,privat,Angebot,control,limousine,2006,manuell,90,astra,150000,1,benzin,opel,nein,2016-03-14T00:00:00Z,0,45699,2016-03-17T09:15:46Z,3
239197,2016-03-28T23:54:07Z,Ford_Transit_260_K_TDCi_Lkw,privat,Angebot,test,bus,2007,manuell,131,transit,90000,12,diesel,ford,nein,2016-03-28T00:00:00Z,0,12437,2016-04-05T15:44:39Z,8
217274,2016-03-14T20:44:42Z,Opel_Astra_Kombi_1.6i_16V,privat,Angebot,control,kombi,1997,manuell,102,astra,150000,4,benzin,opel,nein,2016-03-14T00:00:00Z,0,78086,2016-03-22T17:18:20Z,8
219534,2016-03-10T18:48:21Z,Volkswagen_Golf_1.6_Generation_Motorschaden,privat,Angebot,test,limousine,2000,manuell,105,golf,150000,12,benzin,volkswagen,ja,2016-03-10T00:00:00Z,0,63457,2016-03-11T06:46:49Z,1
241665,2016-03-25T17:54:26Z,Lancia_Musa_1.4_16v_Kleinwagen_mit_viel_Platz,privat,Angebot,test,kleinwagen,2005,manuell,95,musa,150000,4,benzin,lancia,ja,2016-03-25T00:00:00Z,0,85737,2016-04-06T23:17:19Z,12
237581,2016-03-31T22:06:27Z,Peugeot_1007_90_Filou,privat,Angebot,control,kombi,2006,manuell,88,1_reihe,80000,7,benzin,peugeot,nein,2016-03-31T00:00:00Z,0,56566,2016-04-06T15:17:48Z,6
203855,2016-03-26T20:50:58Z,Polo_9N_Highline_1_4l_16V_55KW,privat,Angebot,control,kleinwagen,2002,manuell,75,NA,150000,8,benzin,volkswagen,ja,2016-03-26T00:00:00Z,0,47167,2016-04-04T10:46:35Z,9
203560,2016-03-31T17:51:59Z,Volkswagen_Lupo_1.0_College__TÜV_neu_03/2018,privat,Angebot,control,kleinwagen,2000,manuell,50,lupo,80000,11,benzin,volkswagen,nein,2016-03-31T00:00:00Z,0,25335,2016-04-06T11:44:27Z,6
213459,2016-03-23T13:39:57Z,MERCEDES_C200_CDI___NAVI__,privat,Angebot,test,kombi,2008,manuell,136,c_klasse,150000,8,diesel,mercedes_benz,nein,2016-03-23T00:00:00Z,0,54516,2016-04-05T13:45:35Z,13
209033,2016-04-04T16:45:35Z,Mercedes_Benz_S_600_C,privat,Angebot,test,coupe,1994,automatik,394,s_klasse,150000,4,benzin,mercedes_benz,nein,2016-04-04T00:00:00Z,0,38644,2016-04-06T18:18:23Z,2
211401,2016-03-15T09:49:04Z,Mercedes_Benz_CLK_Coupe_230_Kompressor_Sport,privat,Angebot,control,coupe,1999,automatik,193,clk,150000,1,benzin,mercedes_benz,nein,2016-03-15T00:00:00Z,0,42277,2016-04-05T18:44:37Z,21
219363,2016-03-15T14:45:12Z,BMW_740iA_V8_/_Xenon_/_matt_schwarz_/_19_Zoll,privat,Angebot,control,limousine,1995,automatik,286,7er,150000,3,benzin,bmw,nein,2016-03-15T00:00:00Z,0,70794,2016-03-17T09:15:29Z,2
245775,2016-03-19T13:37:00Z,Skoda_Fabia_1.Hand,privat,Angebot,test,kombi,2007,manuell,80,fabia,150000,2,benzin,skoda,nein,2016-03-19T00:00:00Z,0,63065,2016-03-31T22:47:38Z,12
223281,2016-04-04T14:54:36Z,Golf_3_1_6_mit__Extras,privat,Angebot,test,limousine,1997,manuell,75,golf,150000,0,benzin,volkswagen,nein,2016-04-04T00:00:00Z,0,91477,2016-04-06T16:17:41Z,2
203390,2016-03-28T14:56:51Z,MINI_CLUBMAN_Wenig_Kilometer_Scheckheft_Leder_1_Hand_START_STOP,privat,Angebot,test,kleinwagen,2009,manuell,125,clubman,80000,7,benzin,mini,nein,2016-03-28T00:00:00Z,0,10961,2016-03-28T15:42:08Z,0
206829,2016-04-04T19:44:25Z,Volkswagen_Polo,privat,Angebot,test,kleinwagen,2000,manuell,50,polo,150000,11,benzin,volkswagen,nein,2016-04-04T00:00:00Z,0,08523,2016-04-06T21:45:47Z,2
203056,2016-03-07T18:53:10Z,Ford_Mondeo_2.0_Turnier_TDCi_Ghia,privat,Angebot,control,kombi,2002,manuell,131,mondeo,150000,5,diesel,ford,ja,2016-03-07T00:00:00Z,0,55246,2016-03-17T17:46:48Z,10
226412,2016-04-03T22:51:50Z,Volkswagen_Golf_1.6_Edition,privat,Angebot,control,limousine,2000,manuell,105,golf,125000,12,benzin,volkswagen,nein,2016-04-03T00:00:00Z,0,94036,2016-04-06T00:16:06Z,3
242187,2016-03-22T21:50:15Z,FIAT_Seicento_Sporting_Abarth__TueV_02.2018,privat,Angebot,control,kleinwagen,1999,manuell,55,seicento,100000,3,benzin,fiat,nein,2016-03-22T00:00:00Z,0,38112,2016-03-25T14:17:50Z,3
230810,2016-03-24T07:58:10Z,VW_Lupo__50_PS__blau__Bj._2004__143500_km__TÜV_war_ohne_Maengel,privat,Angebot,control,kleinwagen,2004,manuell,50,lupo,150000,7,benzin,volkswagen,nein,2016-03-24T00:00:00Z,0,82205,2016-04-06T22:45:38Z,13
225498,2016-03-12T16:58:58Z,RENAULT_TWINGO_FALTDACH__120000_Km_TÜV_NEU!!!!!!,privat,Angebot,control,kleinwagen,1995,manuell,40,twingo,150000,2,benzin,renault,nein,2016-03-12T00:00:00Z,0,25421,2016-04-07T14:32:36Z,26
223497,2016-04-01T20:38:57Z,Volkswagen_Beetle_2.0_Highline_Leder_CD,privat,Angebot,test,cabrio,2003,manuell,116,beetle,150000,6,benzin,volkswagen,nein,2016-04-01T00:00:00Z,0,30173,2016-04-05T17:26:57Z,4
213927,2016-03-24T11:50:59Z,Daihatsu_Sirion_1.0,privat,Angebot,test,limousine,2007,manuell,69,sirion,100000,11,benzin,daihatsu,nein,2016-03-24T00:00:00Z,0,22529,2016-04-07T02:45:18Z,14
200239,2016-03-05T16:52:24Z,MX_5_schwarz_8fach_bereift,privat,Angebot,control,cabrio,1998,manuell,110,mx_reihe,150000,5,benzin,mazda,nein,2016-03-05T00:00:00Z,0,27777,2016-03-07T12:15:37Z,2
211671,2016-03-30T21:25:27Z,Volkswagen_Golf_Variant_1.6__Edition_Generation,privat,Angebot,control,kombi,2001,automatik,102,golf,150000,6,benzin,volkswagen,nein,2016-03-30T00:00:00Z,0,65719,2016-04-05T14:16:45Z,6
234282,2016-04-01T02:58:10Z,Peugeot_407_TOP_ZUSTAND,privat,Angebot,control,kombi,2004,automatik,0,4_reihe,150000,9,benzin,peugeot,nein,2016-04-01T00:00:00Z,0,51371,2016-04-01T08:39:14Z,0
200251,2016-03-25T13:50:00Z,Opel_Corsa_City,privat,Angebot,test,kleinwagen,1997,manuell,45,corsa,125000,2,benzin,opel,nein,2016-03-25T00:00:00Z,0,48291,2016-04-02T17:17:18Z,8
222505,2016-03-09T18:38:24Z,Volkswagen_Passat_2.0_Trendline_/_Gasanlage_/_Anhaengerkupplung,privat,Angebot,test,limousine,2002,manuell,131,passat,150000,6,benzin,volkswagen,nein,2016-03-09T00:00:00Z,0,41363,2016-03-21T00:45:48Z,12
230119,2016-03-23T16:58:48Z,Fiat_Punto__Klima__4_tuerer,privat,Angebot,test,kleinwagen,2000,manuell,60,punto,150000,10,benzin,fiat,nein,2016-03-23T00:00:00Z,0,24251,2016-03-23T17:43:58Z,0
223810,2016-03-09T08:37:42Z,BMW_E46_320CI_Cabrio_ABSOLUTES_EINZELSTÜCK_!,privat,Angebot,test,cabrio,2002,manuell,170,3er,150000,1,benzin,bmw,nein,2016-03-09T00:00:00Z,0,40549,2016-03-19T21:47:19Z,10
221967,2016-03-05T23:54:52Z,BMW_320d_DPF_Touring,privat,Angebot,control,kombi,2007,manuell,177,3er,150000,7,diesel,bmw,nein,2016-03-05T00:00:00Z,0,91217,2016-04-05T20:46:12Z,31
204781,2016-03-23T15:56:33Z,Mercedes_Benz_300_SL,privat,Angebot,test,cabrio,1992,automatik,190,sl,125000,3,benzin,mercedes_benz,nein,2016-03-23T00:00:00Z,0,34286,2016-03-26T09:45:32Z,3
242905,2016-04-02T22:58:12Z,Citroen_C1_1.0,privat,Angebot,test,kleinwagen,2009,manuell,68,c1,50000,3,benzin,citroen,nein,2016-04-02T00:00:00Z,0,09599,2016-04-07T01:46:27Z,5
