id,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen,ad_exist_time
62048,2016-03-08T23:52:31Z,Volkswagen_Kaefer,privat,Angebot,3764,control,limousine,1984,manuell,34,kaefer,125000,4,benzin,volkswagen,nein,2016-03-08T00:00:00Z,0,26215,2016-03-09T07:42:24Z,1
64904,2016-03-21T11:51:20Z,Volkswagen_Golf_1.8_5V_Turbo_25_Jahre_GTI,privat,Angebot,1510,control,limousine,2002,manuell,179,golf,150000,8,benzin,volkswagen,ja,2016-03-21T00:00:00Z,0,03048,2016-03-21T12:41:29Z,0
174025,2016-03-26T10:42:49Z,Fahrzeug16V,privat,Angebot,1287,test,kombi,2004,manuell,102,stilo,150000,6,benzin,fiat,nein,2016-03-26T00:00:00Z,0,58099,2016-04-01T23:17:40Z,6
65713,2016-03-09T17:50:42Z,Volkswagen_Fox_1.2,privat,Angebot,2198,test,kleinwagen,2006,manuell,54,fox,125000,12,benzin,volkswagen,nein,2016-03-09T00:00:00Z,0,53604,2016-03-12T18:15:33Z,3
25121,2016-03-28T11:50:42Z,Mercedes_Benz_C_220_CDI_Sportcoupe,privat,Angebot,2730,control,coupe,2001,manuell,143,c_klasse,150000,5,diesel,mercedes_benz,nein,2016-03-28T00:00:00Z,0,63450,2016-04-04T13:16:40Z,7
71210,2016-03-15T12:37:21Z,Volkswagen_Golf_Cabrio_1.8,privat,Angebot,759,control,cabrio,1995,manuell,90,golf,150000,7,benzin,volkswagen,nein,2016-03-15T00:00:00Z,0,76870,2016-03-20T07:48:03Z,5
186135,2016-03-07T21:52:05Z,Ford_Fiesta_TÜV_neu,privat,Angebot,916,control,kleinwagen,1996,manuell,60,fiesta,100000,0,benzin,ford,nein,2016-03-07T00:00:00Z,0,49626,2016-03-17T08:44:45Z,10
175003,2016-03-24T13:56:27Z,Volkswagen_Golf_1.4_Comfortline,privat,Angebot,1988,control,limousine,2002,manuell,75,golf,150000,3,benzin,volkswagen,nein,2016-03-24T00:00:00Z,0,78166,2016-04-07T05:46:41Z,14
164013,2016-03-08T02:36:24Z,Volkswagen_Passat_Variant_2.0_TDI_DPF_DSG/_SHZ/NAVI/KLIMA,privat,Angebot,6654,control,kombi,2007,automatik,140,passat,150000,10,diesel,volkswagen,nein,2016-03-08T00:00:00Z,0,80937,2016-03-13T00:15:53Z,5
4361,2016-03-24T12:37:40Z,Opel_Corsa_B,privat,Angebot,624,test,kleinwagen,2000,manuell,60,corsa,125000,2,benzin,opel,ja,2016-03-24T00:00:00Z,0,86492,2016-04-05T00:18:16Z,12
