area,lat,lon,pointerorder
中山區,25.07716439,121.5667248,1
中山區,25.07564845,121.5686131,2
中山區,25.07199456,121.5620041,3
中山區,25.07564845,121.5531635,4
中山區,25.07549296,121.5514469,5
中山區,25.0715281,121.5513611,6
中山區,25.07051743,121.5401173,7
中山區,25.06911802,121.5401173,8
中山區,25.06663015,121.5441513,9
中山區,25.0447036,121.5437651,10
中山區,25.04458695,121.5374136,11
中山區,25.04598664,121.5302038,12
中山區,25.04789174,121.5248394,13
中山區,25.04820278,121.5189171,14
中山區,25.04983569,121.51999,15
中山區,25.05247942,121.5204191,16
中山區,25.05947724,121.5207195,17
中山區,25.06390898,121.5189171,18
中山區,25.07319958,121.5205908,19
中山區,25.07697004,121.5223074,20
中山區,25.07541522,121.5243244,21
中山區,25.07537635,121.5253973,22
中山區,25.08031282,121.5242815,23
中山區,25.0818287,121.5249681,24
中山區,25.08144002,121.5262985,25
中山區,25.08777545,121.5332937,26
中山區,25.09150659,121.5380573,27
中山區,25.09251709,121.5411901,28
中山區,25.09294461,121.5540648,29
中山區,25.09010743,121.5511036,30
中山區,25.08454947,121.5570259,31
中山區,25.08474381,121.5605021,32
中山區,25.07860257,121.5639782,33
中正區,25.04536456,121.5328217,1
中正區,25.03346666,121.5326071,2
中正區,25.03412768,121.5271139,3
中正區,25.03556637,121.5241957,4
中正區,25.03249456,121.522522,5
中正區,25.02817833,121.5217924,6
中正區,25.02533965,121.5236807,7
中正區,25.02296756,121.5254402,8
中正區,25.01340092,121.5357399,9
中正區,25.01122305,121.5373278,10
中正區,25.0082673,121.5315342,11
中正區,25.0122731,121.5251398,12
中正區,25.01627877,121.5214491,13
中正區,25.0199732,121.5188313,14
中正區,25.02168427,121.5135956,15
中正區,25.02405639,121.5121365,16
中正區,25.02506745,121.5091753,17
中正區,25.02973375,121.5044117,18
中正區,25.0311336,121.5041113,19
中正區,25.03327224,121.50527,20
中正區,25.03661622,121.5069008,21
中正區,25.03840482,121.5071583,22
中正區,25.04672536,121.5096474,23
中正區,25.04800838,121.5101194,24
中正區,25.04843605,121.5115786,25
中正區,25.04952466,121.5120077,26
中正區,25.04843605,121.5165997,27
中正區,25.0479695,121.5190029,28
中正區,25.04765847,121.5249252,29
中正區,25.04618104,121.5291309,30
信義區,25.0450924,121.5578198,1
信義區,25.04820278,121.5651369,2
信義區,25.04975794,121.570673,3
信義區,25.05150747,121.5732479,4
信義區,25.05259605,121.5800714,5
信義區,25.05053551,121.5800285,6
信義區,25.04820278,121.580286,7
信義區,25.04552008,121.5808439,8
信義區,25.04419815,121.5812302,9
信義區,25.04408151,121.5819597,10
信義區,25.04147648,121.5857363,11
信義區,25.04149592,121.5867877,12
信義區,25.03842426,121.5880966,13
信義區,25.03368052,121.5901566,14
信義區,25.0321446,121.5910149,15
信義區,25.02850886,121.5884399,16
信義區,25.02458136,121.5856075,17
信義區,25.02164538,121.5856719,18
信義區,25.01693989,121.5802002,19
信義區,25.01491763,121.5782905,20
信義區,25.01377038,121.5758014,21
信義區,25.01378982,121.5732265,22
信義區,25.01256478,121.5718532,23
信義區,25.00871456,121.5700722,24
信義區,25.00817007,121.5658021,25
信義區,25.0100952,121.5652871,26
信義區,25.01137861,121.5635276,27
信義區,25.01338148,121.5632915,28
信義區,25.01592876,121.560781,29
信義區,25.01744544,121.5598583,30
信義區,25.02423138,121.5526056,31
信義區,25.02792558,121.5564466,32
信義區,25.02951988,121.5573692,33
信義區,25.03366108,121.557498,34
信義區,25.03795767,121.5575838,35
信義區,25.04450919,121.5577555,36
內湖區,25.11453223,121.5958858,1
內湖區,25.11400765,121.5883112,2
內湖區,25.10782901,121.5848351,3
內湖區,25.10631345,121.5835905,4
內湖區,25.10681864,121.5800285,5
內湖區,25.10565282,121.5789986,6
內湖區,25.1066632,121.574707,7
內湖區,25.1038652,121.5696001,8
內湖區,25.09920172,121.567111,9
內湖區,25.09807469,121.5623474,10
